,ID,prepost,Start time,I think about climate change,I think the world's climate is changing,I'm worried about the effects of climate change on my community,I think it's too late to do anything about climate change,I know about the history of flooding in my community,I know what the government and local authority are doing to help my community to cope with climate change,I understand the difference between climate change mitigation and climate change adaptation,I think technology is the most important tool we have to help us to adapt to climate change,I think interactive maps are a useful tool for talking about and demonstrating the effects of climate change,Games are a good way to help us to imagine the effects of climate change,Imagining what our lives will be like in the future is a good way to discuss adaptation to climate change,I think that changing my own behaviour can help to limit the effects of climate change,deis
482,171,post,2022-11-22 14:35:03,Rarely,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
483,173,post,2022-11-22 14:35:26,Rarely,Probably changing,Not worried at all,Disagree,Strongly disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly agree,True
484,175,post,2022-11-22 14:37:09,Sometimes,Definitely changing,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,True
485,181,post,2022-11-22 14:37:40,Often,Probably changing,A little worried,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,True
486,176,post,2022-11-22 14:38:02,Rarely,Definitely changing,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,True
487,174,post,2022-11-22 14:38:05,Sometimes,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,True
488,177,post,2022-11-22 14:38:57,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,True
489,178,post,2022-11-22 14:39:08,Never,Definitely changing,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,True
490,179,post,2022-11-22 14:39:09,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,True
491,180,post,2022-11-22 14:40:40,Rarely,Definitely changing,Neutral,Disagree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,True
492,182,post,2022-11-23 10:25:35,Rarely,Definitely changing,A little worried,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,True
493,183,post,2022-11-23 10:27:51,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,True
494,186,post,2022-11-23 10:27:57,Sometimes,Definitely changing,Very worried,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,True
495,185,post,2022-11-23 10:29:24,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,True
496,187,post,2022-11-23 10:29:32,Often,Definitely changing,Very worried,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,True
497,188,post,2022-11-23 10:29:32,Sometimes,Definitely changing,A little worried,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Neutral,True
498,191,post,2022-11-23 10:29:34,Never,Maybe changing,Not worried at all,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,True
499,184,post,2022-11-23 10:29:48,All the time,Definitely changing,Very worried,Neutral,Disagree,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,True
500,189,post,2022-11-23 10:30:27,Sometimes,Definitely changing,Very worried,Neutral,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,True
501,195,post,2022-11-23 10:30:36,Very often,Probably changing,Very worried,Disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,True
502,190,post,2022-11-23 10:30:57,Rarely,Definitely changing,A little worried,Disagree,Strongly disagree,Neutral,Disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,True
503,198,post,2022-11-23 10:31:03,Sometimes,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,True
504,194,post,2022-11-23 10:31:07,Often,Probably changing,Very worried,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,True
505,197,post,2022-11-23 10:31:15,Rarely,Definitely changing,A little worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
506,192,post,2022-11-23 10:31:31,Very often,Definitely changing,Extremely worried,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,True
507,193,post,2022-11-23 10:31:32,Sometimes,Probably not changing,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True
508,196,post,2022-11-23 10:31:54,Sometimes,Definitely changing,Very worried,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,True
509,199,post,2022-11-24 12:16:10,Often,Definitely changing,A little worried,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
510,200,post,2022-11-24 12:16:12,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
511,201,post,2022-11-24 12:15:49,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True
512,202,post,2022-11-24 12:15:46,Rarely,Probably changing,A little worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
513,203,post,2022-11-24 12:16:25,Never,Definitely changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
514,204,post,2022-11-24 12:15:55,Rarely,Maybe changing,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
515,205,post,2022-11-24 12:15:48,Often,Definitely changing,A little worried,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Strongly agree,True
516,206,post,2022-11-24 12:16:10,Rarely,Definitely changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
517,207,post,2022-11-24 12:16:52,Rarely,Probably changing,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
518,208,post,2022-11-24 12:17:00,Sometimes,Definitely changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
519,209,post,2022-11-24 12:16:41,Very often,Definitely changing,A little worried,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,True
520,210,post,2022-11-24 12:16:39,Sometimes,Probably changing,A little worried,Disagree,Agree,Disagree,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree,True
521,211,post,2022-11-24 12:15:57,Sometimes,Definitely changing,Not worried at all,Strongly disagree,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,True
522,212,post,2022-11-24 12:17:28,Rarely,Definitely changing,Very worried,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral,Disagree,True
523,213,post,2022-11-24 12:16:11,Never,Maybe changing,Not worried at all,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
524,214,post,2022-11-24 12:15:50,Sometimes,Definitely changing,A little worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
525,215,post,2022-11-24 12:17:39,Rarely,Definitely changing,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,True
526,216,post,2022-11-24 12:18:40,Very often,Definitely changing,Very worried,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,True
527,217,post,2022-11-24 12:17:57,Sometimes,Probably changing,A little worried,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,True
528,218,post,2022-11-24 12:19:11,Never,Definitely not changing,Not worried at all,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
529,219,post,2022-11-24 12:18:12,Sometimes,Probably changing,A little worried,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,True
530,220,post,2022-11-24 12:16:03,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,True
531,221,post,2022-11-24 12:19:53,Sometimes,Definitely changing,Very worried,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,True
532,222,post,2022-11-24 12:20:29,Rarely,Definitely changing,A little worried,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,True
533,223,post,2022-11-24 12:20:13,Often,Probably changing,A little worried,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,True
534,224,post,2022-11-24 12:16:06,Often,Definitely changing,Extremely worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
535,225,post,2022-11-24 12:20:49,Never,Definitely not changing,Not worried at all,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
536,226,post,2022-11-24 12:20:59,Very often,Definitely changing,A little worried,Disagree,Neutral,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,True
537,227,post,2022-11-24 12:20:57,Rarely,Probably changing,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,True
538,228,post,2022-11-24 12:22:23,Never,Maybe changing,A little worried,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,True
539,229,post,2022-11-24 12:21:19,Sometimes,Definitely changing,Very worried,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,True
540,230,post,2022-11-24 12:23:28,Never,Definitely changing,Not worried at all,Neutral,Agree,Neutral,Strongly agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,True
541,231,post,2022-11-24 12:19:53,Sometimes,Probably changing,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,True
542,232,post,2022-11-24 12:23:43,Never,Definitely changing,Very worried,Strongly disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True
543,233,post,2022-11-25 12:10:51,Very often,Definitely changing,Extremely worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
544,234,post,2022-11-25 12:10:45,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,False
545,235,post,2022-11-25 12:10:32,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,False
546,236,post,2022-11-25 12:10:31,Often,Probably changing,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,False
547,237,post,2022-11-25 12:10:51,Often,Probably changing,A little worried,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,False
548,238,post,2022-11-25 12:11:53,Sometimes,Definitely changing,Very worried,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,False
549,239,post,2022-11-25 12:13:24,Sometimes,Maybe changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
550,240,post,2022-11-25 12:13:31,Never,Probably changing,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,False
551,241,post,2022-11-25 12:10:58,Sometimes,Definitely changing,A little worried,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,False
552,242,post,2022-11-25 12:16:07,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Disagree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,False
553,263,pre,2022-09-21 11:22:10,Often,Definitely changing,A little worried,Disagree,Agree,Disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,False
554,264,pre,2022-09-21 11:23:23,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,False
555,265,pre,2022-09-21 11:24:31,Rarely,Probably changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,False
556,266,pre,2022-09-21 11:26:50,Never,Maybe changing,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Agree,Disagree,False
557,267,pre,2022-09-21 11:32:40,Often,Probably not changing,Neutral,Agree,Strongly disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,False
558,268,pre,2022-09-21 11:32:01,All the time,Definitely changing,Extremely worried,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,False
559,269,pre,2022-09-21 11:35:04,All the time,Definitely changing,Extremely worried,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,False
560,270,pre,2022-09-21 11:37:38,All the time,Definitely changing,Extremely worried,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,False
561,271,pre,2022-09-21 11:36:52,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,False
562,272,pre,2022-09-21 11:39:28,Sometimes,Maybe changing,A little worried,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,False
563,273,pre,2022-09-21 11:45:27,Rarely,Definitely changing,Not worried at all,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,False
564,297,pre,2022-09-23 10:57:10,Often,Maybe changing,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
565,298,pre,2022-09-23 11:06:08,Sometimes,Probably not changing,Very worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
566,299,pre,2022-09-26 09:59:16,Sometimes,Definitely changing,A little worried,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,False
567,300,pre,2022-09-26 10:08:11,Sometimes,Probably changing,A little worried,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,False
568,339,pre,2022-09-27 14:05:51,Never,Probably changing,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,False
569,340,pre,2022-09-27 14:10:17,Never,Maybe changing,Not worried at all,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
570,341,pre,2022-09-27 14:17:28,Never,Maybe changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
571,342,pre,2022-09-27 14:24:08,Rarely,Probably not changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
572,369,pre,2022-09-28 11:22:28,Rarely,Definitely changing,Neutral,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,False
573,370,pre,2022-09-28 11:25:23,Sometimes,Maybe changing,A little worried,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,False
574,371,pre,2022-09-28 12:33:54,Often,Definitely changing,A little worried,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,False
575,397,pre,2022-09-29 13:56:58,Sometimes,Definitely changing,Neutral,Strongly disagree,Agree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Disagree,Agree,False
576,398,pre,2022-09-30 08:59:48,Rarely,Definitely changing,Neutral,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,False
577,446,pre,2022-09-30 12:35:25,Never,Probably changing,Not worried at all,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,False
578,447,pre,2022-09-30 12:40:56,Rarely,Maybe changing,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,False
579,448,pre,2022-10-04 10:22:24,Rarely,Definitely changing,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,False
580,449,pre,2022-10-04 10:27:17,Often,Definitely changing,Very worried,Strongly disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly agree,False
581,450,pre,2022-10-04 13:54:16,Sometimes,Definitely changing,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,False
582,451,pre,2022-10-06 08:55:01,Often,Definitely changing,A little worried,Disagree,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,False
583,452,pre,2022-10-06 09:00:35,Rarely,Definitely changing,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,False
584,453,pre,2022-10-06 14:13:08,Often,Definitely changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
585,454,pre,2022-10-06 14:16:04,Rarely,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
586,455,pre,2022-10-10 12:02:07,Often,Definitely changing,A little worried,Agree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,False
587,456,pre,2022-10-10 12:03:03,Sometimes,Definitely changing,Extremely worried,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,False
588,457,pre,2022-10-11 14:01:45,Rarely,Probably changing,A little worried,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly agree,False
589,458,pre,2022-10-11 14:05:07,Never,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
590,459,pre,2022-10-11 14:05:43,Sometimes,Probably changing,A little worried,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,False
591,460,pre,2022-10-11 14:06:56,Never,Maybe changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
592,461,pre,2022-10-11 14:08:01,Never,Maybe changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
593,462,pre,2022-10-11 14:17:05,Rarely,Maybe changing,A little worried,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,False
594,463,pre,2022-10-14 11:39:39,Often,Probably not changing,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,False
595,464,pre,2022-10-18 10:36:38,Sometimes,Definitely changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
596,465,pre,2022-10-19 10:45:57,All the time,Definitely changing,Very worried,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,False
597,466,pre,2022-10-20 14:04:37,All the time,Definitely changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
598,467,pre,2022-10-20 14:10:55,Often,Definitely changing,A little worried,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,False
599,468,pre,2022-10-20 14:13:59,Often,Probably changing,Not worried at all,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,False
600,488,pre,2022-10-27 14:15:04,Sometimes,Maybe changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
601,489,pre,2022-10-27 14:21:57,Never,Maybe changing,Climate change isn't happening,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,False
602,490,pre,2022-10-28 11:15:51,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,False
603,491,pre,2022-11-07 21:54:00,All the time,Definitely changing,Extremely worried,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,False
604,492,pre,2022-11-08 09:34:09,Often,Definitely changing,A little worried,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Agree,False
605,493,pre,2022-11-08 09:40:36,Sometimes,Definitely changing,A little worried,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Agree,False
606,494,pre,2022-11-08 09:45:04,Sometimes,Maybe changing,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,False
607,495,pre,2022-11-10 09:54:30,Sometimes,Probably changing,Very worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
608,496,pre,2022-11-10 11:29:39,Rarely,Probably changing,Not worried at all,Neutral,Agree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Neutral,False
609,497,pre,2022-11-10 11:54:18,Often,Definitely changing,Extremely worried,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,False
610,498,pre,2022-11-17 14:27:06,Sometimes,Probably not changing,Very worried,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Agree,Neutral,Strongly disagree,False
611,499,pre,2022-11-19 16:15:32,Often,Definitely changing,Extremely worried,Strongly disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,False
612,500,pre,2022-11-22 18:33:20,Very often,Definitely changing,Very worried,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,False
